Instances,# cycle(s),CPUt (s),r (%),# cycle(s),CPUt (s),r (%),# cycle(s),CPUt (s),r (%)
sppaa03,12,268.53,76.19,7,255.25,76.26,16,268.87,76.19
sppaa05,12,256.49,69.05,10,246.46,69.05,14,251.63,69.05
sppnw01,2,65.42,81.53,2,67.11,81.53,7,76.29,81.53
sppnw03,5,28.27,80.81,8,30.48,80.97,13,30.77,80.78
sppnw04,20,58.48,55.34,22,61.92,61.92,33,61.19,55.14
sppnw05,5,159.33,26.87,7,168.78,31.05,5,179.44,33.79
sppnw06,6,3.15,78.22,5,3.36,78.22,14,3.46,78.22
sppnw07,4,1.85,78.07,6,1.66,77.91,10,1.69,77.91
sppnw08,0,0.28,82.67,0,0.28,82.67,0,0.27,82.67
sppnw09,0,0.8,87.33,0,0.82,87.33,0,0.8,87.33
sppnw10,0,0.32,99.22,0,0.36,99.22,0,0.33,99.22
sppnw11,1,2.19,97.19,3,2.35,97.19,6,2.32,97.19
sppnw12,1,0.31,86.29,1,0.32,86.29,5,0.33,86.29
sppnw13,7,4.81,74.63,26,6.48,70.48,37,7.02,65.11
sppnw14,1,70.04,86.08,1,70.06,86.08,5,73.86,86.08
sppnw15,0,0.33,100,0,0.37,100,0,0.33,100
sppnw16,0,101.73,1.13,0,101.75,1.13,0,101.73,1.13
sppnw17,4,110.61,68.9,7,114.73,68.9,10,113.62,68.9
sppnw18,15,14.26,#N/A,25,14.46,#N/A,26,14.78,#N/A
sppnw19,7,1,88.04,5,1.01,87.84,13,1.06,87.84
sppnw20,5,0.33,76.29,5,0.37,76.29,10,0.37,76.29
sppnw21,1,0.33,92.95,1,0.3,92.95,6,0.33,92.95
sppnw22,12,0.33,93.29,12,0.34,94.72,28,0.35,93.29
sppnw23,10,0.41,92.36,19,0.4,92.36,18,0.37,92.36
sppnw24,6,0.54,76.44,8,0.58,83.9,21,0.61,76.44
sppnw25,1,0.43,85.17,1,0.45,85.17,4,0.49,85.17
sppnw26,18,0.46,65.46,29,0.45,65.46,39,0.45,65.46
sppnw27,2,0.44,#N/A,3,0.49,#N/A,8,0.48,#N/A
sppnw28,4,0.43,92.4,3,0.43,92.4,16,0.47,92.4
sppnw29,5,0.76,78.45,6,0.78,80.41,8,0.79,80.41
sppnw30,5,0.74,83.78,5,0.7,83.78,12,0.73,83.78
sppnw31,5,0.81,84,7,0.89,90.29,9,0.85,84.07
sppnw32,8,0.25,97.59,12,0.28,98.79,17,0.31,97.59
sppnw33,7,0.93,81.51,10,0.98,94.04,25,1.09,79.74
sppnw34,3,0.38,85.55,4,0.39,84.28,14,0.42,84.28
sppnw35,7,0.6,89.7,12,0.66,92.37,13,0.59,92.37
sppnw36,8,0.69,86.14,12,0.68,86.14,27,0.73,86.14
sppnw37,0,0.34,88.24,0,0.28,88.24,0,0.3,88.24
sppnw38,12,0.56,47.61,17,0.63,66.34,30,0.6,66.34
sppnw39,8,0.35,80.33,13,0.44,63.46,34,0.46,62.91
sppnw40,4,0.29,58.76,7,0.31,58.77,17,0.33,63.8
sppnw41,1,0.23,83.75,1,0.26,0.26,6,0.24,83.75
sppnw42,9,0.51,95.7,16,0.5,95.7,28,0.52,95.7
sppnw43,11,0.47,79.42,15,0.52,80.01,26,0.54,79.82
,perturbSolution!,,,perturbSolution30!,,,perturbSolution28a!,,
